scope,side,model,variant,metric,value
model_metric,patient,lr,raw,qwk,0.3894
model_metric,patient,lr,raw,mae,0.6979
model_metric,patient,lr,raw,macro_f1,0.3409
model_metric,patient,lr,raw,accuracy,0.4661
model_metric,patient,lr,raw,within_one_accuracy,0.8593
model_metric,patient,lr,raw,recall_esi1,0.6131
model_metric,patient,lr,raw,recall_esi2,0.4564
model_metric,patient,lr,raw,pooled_critical_recall,0.7182
model_metric,patient,lr,raw,critical_undertriage,0.2818
model_metric,patient,lr,raw,undertriage,0.2655
model_metric,patient,lr,raw,overtriage,0.2684
model_metric,patient,lr,tuned,qwk,0.3637
model_metric,patient,lr,tuned,mae,0.7442
model_metric,patient,lr,tuned,macro_f1,0.2708
model_metric,patient,lr,tuned,accuracy,0.3554
model_metric,patient,lr,tuned,within_one_accuracy,0.9107
model_metric,patient,lr,tuned,recall_esi1,0.4885
model_metric,patient,lr,tuned,recall_esi2,0.7866
model_metric,patient,lr,tuned,pooled_critical_recall,0.9355
model_metric,patient,lr,tuned,critical_undertriage,0.0645
model_metric,patient,lr,tuned,undertriage,0.1624
model_metric,patient,lr,tuned,overtriage,0.4822
model_metric,patient,rf,raw,qwk,0.5578
model_metric,patient,rf,raw,mae,0.469
model_metric,patient,rf,raw,macro_f1,0.4452
model_metric,patient,rf,raw,accuracy,0.5853
model_metric,patient,rf,raw,within_one_accuracy,0.9496
model_metric,patient,rf,raw,recall_esi1,0.6544
model_metric,patient,rf,raw,recall_esi2,0.6007
model_metric,patient,rf,raw,pooled_critical_recall,0.7586
model_metric,patient,rf,raw,critical_undertriage,0.2414
model_metric,patient,rf,raw,undertriage,0.2222
model_metric,patient,rf,raw,overtriage,0.1925
model_metric,patient,rf,tuned,qwk,0.5178
model_metric,patient,rf,tuned,mae,0.5414
model_metric,patient,rf,tuned,macro_f1,0.4089
model_metric,patient,rf,tuned,accuracy,0.4992
model_metric,patient,rf,tuned,within_one_accuracy,0.9622
model_metric,patient,rf,tuned,recall_esi1,0.57
model_metric,patient,rf,tuned,recall_esi2,0.8182
model_metric,patient,rf,tuned,pooled_critical_recall,0.9158
model_metric,patient,rf,tuned,critical_undertriage,0.0842
model_metric,patient,rf,tuned,undertriage,0.1658
model_metric,patient,rf,tuned,overtriage,0.3351
model_metric,patient,xgb,raw,qwk,0.5781
model_metric,patient,xgb,raw,mae,0.4412
model_metric,patient,xgb,raw,macro_f1,0.46
model_metric,patient,xgb,raw,accuracy,0.6044
model_metric,patient,xgb,raw,within_one_accuracy,0.9565
model_metric,patient,xgb,raw,recall_esi1,0.6567
model_metric,patient,xgb,raw,recall_esi2,0.6132
model_metric,patient,xgb,raw,pooled_critical_recall,0.7715
model_metric,patient,xgb,raw,critical_undertriage,0.2285
model_metric,patient,xgb,raw,undertriage,0.2035
model_metric,patient,xgb,raw,overtriage,0.1921
model_metric,patient,xgb,tuned,qwk,0.5427
model_metric,patient,xgb,tuned,mae,0.5082
model_metric,patient,xgb,tuned,macro_f1,0.4293
model_metric,patient,xgb,tuned,accuracy,0.5276
model_metric,patient,xgb,tuned,within_one_accuracy,0.9661
model_metric,patient,xgb,tuned,recall_esi1,0.6194
model_metric,patient,xgb,tuned,recall_esi2,0.7941
model_metric,patient,xgb,tuned,pooled_critical_recall,0.9107
model_metric,patient,xgb,tuned,critical_undertriage,0.0893
model_metric,patient,xgb,tuned,undertriage,0.1527
model_metric,patient,xgb,tuned,overtriage,0.3197
model_metric,patient,mlp,raw,qwk,0.6261
model_metric,patient,mlp,raw,mae,0.3449
model_metric,patient,mlp,raw,macro_f1,0.5282
model_metric,patient,mlp,raw,accuracy,0.6706
model_metric,patient,mlp,raw,within_one_accuracy,0.985
model_metric,patient,mlp,raw,recall_esi1,0.4417
model_metric,patient,mlp,raw,recall_esi2,0.6873
model_metric,patient,mlp,raw,pooled_critical_recall,0.7496
model_metric,patient,mlp,raw,critical_undertriage,0.2504
model_metric,patient,mlp,raw,undertriage,0.1771
model_metric,patient,mlp,raw,overtriage,0.1523
model_metric,patient,mlp,tuned,qwk,0.5715
model_metric,patient,mlp,tuned,mae,0.4546
model_metric,patient,mlp,tuned,macro_f1,0.4774
model_metric,patient,mlp,tuned,accuracy,0.5731
model_metric,patient,mlp,tuned,within_one_accuracy,0.9732
model_metric,patient,mlp,tuned,recall_esi1,0.6564
model_metric,patient,mlp,tuned,recall_esi2,0.7392
model_metric,patient,mlp,tuned,pooled_critical_recall,0.8942
model_metric,patient,mlp,tuned,critical_undertriage,0.1058
model_metric,patient,mlp,tuned,undertriage,0.1167
model_metric,patient,mlp,tuned,overtriage,0.3102
model_metric,patient,ensemble,raw,qwk,0.6169
model_metric,patient,ensemble,raw,mae,0.3776
model_metric,patient,ensemble,raw,macro_f1,0.5086
model_metric,patient,ensemble,raw,accuracy,0.6468
model_metric,patient,ensemble,raw,within_one_accuracy,0.9767
model_metric,patient,ensemble,raw,recall_esi1,0.5695
model_metric,patient,ensemble,raw,recall_esi2,0.6579
model_metric,patient,ensemble,raw,pooled_critical_recall,0.7578
model_metric,patient,ensemble,raw,critical_undertriage,0.2422
model_metric,patient,ensemble,raw,undertriage,0.1903
model_metric,patient,ensemble,raw,overtriage,0.1629
model_metric,patient,ensemble,tuned,qwk,0.5576
model_metric,patient,ensemble,tuned,mae,0.4741
model_metric,patient,ensemble,tuned,macro_f1,0.4643
model_metric,patient,ensemble,tuned,accuracy,0.5476
model_metric,patient,ensemble,tuned,within_one_accuracy,0.9794
model_metric,patient,ensemble,tuned,recall_esi1,0.5571
model_metric,patient,ensemble,tuned,recall_esi2,0.8383
model_metric,patient,ensemble,tuned,pooled_critical_recall,0.9204
model_metric,patient,ensemble,tuned,critical_undertriage,0.0796
model_metric,patient,ensemble,tuned,undertriage,0.1324
model_metric,patient,ensemble,tuned,overtriage,0.32
model_metric,hospital,lr,raw,qwk,0.452
model_metric,hospital,lr,raw,mae,0.6112
model_metric,hospital,lr,raw,macro_f1,0.3801
model_metric,hospital,lr,raw,accuracy,0.5106
model_metric,hospital,lr,raw,within_one_accuracy,0.8947
model_metric,hospital,lr,raw,recall_esi1,0.6863
model_metric,hospital,lr,raw,recall_esi2,0.5339
model_metric,hospital,lr,raw,pooled_critical_recall,0.7316
model_metric,hospital,lr,raw,critical_undertriage,0.2684
model_metric,hospital,lr,raw,undertriage,0.26
model_metric,hospital,lr,raw,overtriage,0.2293
model_metric,hospital,lr,tuned,qwk,0.4263
model_metric,hospital,lr,tuned,mae,0.6765
model_metric,hospital,lr,tuned,macro_f1,0.3311
model_metric,hospital,lr,tuned,accuracy,0.4149
model_metric,hospital,lr,tuned,within_one_accuracy,0.9201
model_metric,hospital,lr,tuned,recall_esi1,0.6114
model_metric,hospital,lr,tuned,recall_esi2,0.7774
model_metric,hospital,lr,tuned,pooled_critical_recall,0.9066
model_metric,hospital,lr,tuned,critical_undertriage,0.0934
model_metric,hospital,lr,tuned,undertriage,0.1874
model_metric,hospital,lr,tuned,overtriage,0.3977
model_metric,hospital,rf,raw,qwk,0.6208
model_metric,hospital,rf,raw,mae,0.3775
model_metric,hospital,rf,raw,macro_f1,0.5272
model_metric,hospital,rf,raw,accuracy,0.6468
model_metric,hospital,rf,raw,within_one_accuracy,0.9768
model_metric,hospital,rf,raw,recall_esi1,0.6788
model_metric,hospital,rf,raw,recall_esi2,0.6706
model_metric,hospital,rf,raw,pooled_critical_recall,0.7625
model_metric,hospital,rf,raw,critical_undertriage,0.2375
model_metric,hospital,rf,raw,undertriage,0.1877
model_metric,hospital,rf,raw,overtriage,0.1656
model_metric,hospital,rf,tuned,qwk,0.5433
model_metric,hospital,rf,tuned,mae,0.4952
model_metric,hospital,rf,tuned,macro_f1,0.4703
model_metric,hospital,rf,tuned,accuracy,0.5297
model_metric,hospital,rf,tuned,within_one_accuracy,0.9763
model_metric,hospital,rf,tuned,recall_esi1,0.6737
model_metric,hospital,rf,tuned,recall_esi2,0.8537
model_metric,hospital,rf,tuned,pooled_critical_recall,0.9315
model_metric,hospital,rf,tuned,critical_undertriage,0.0685
model_metric,hospital,rf,tuned,undertriage,0.1253
model_metric,hospital,rf,tuned,overtriage,0.345
model_metric,hospital,xgb,raw,qwk,0.6244
model_metric,hospital,xgb,raw,mae,0.3862
model_metric,hospital,xgb,raw,macro_f1,0.5092
model_metric,hospital,xgb,raw,accuracy,0.6409
model_metric,hospital,xgb,raw,within_one_accuracy,0.974
model_metric,hospital,xgb,raw,recall_esi1,0.7236
model_metric,hospital,xgb,raw,recall_esi2,0.6668
model_metric,hospital,xgb,raw,pooled_critical_recall,0.7807
model_metric,hospital,xgb,raw,critical_undertriage,0.2193
model_metric,hospital,xgb,raw,undertriage,0.1885
model_metric,hospital,xgb,raw,overtriage,0.1706
model_metric,hospital,xgb,tuned,qwk,0.5735
model_metric,hospital,xgb,tuned,mae,0.4668
model_metric,hospital,xgb,tuned,macro_f1,0.4729
model_metric,hospital,xgb,tuned,accuracy,0.5566
model_metric,hospital,xgb,tuned,within_one_accuracy,0.9776
model_metric,hospital,xgb,tuned,recall_esi1,0.6949
model_metric,hospital,xgb,tuned,recall_esi2,0.8388
model_metric,hospital,xgb,tuned,pooled_critical_recall,0.9228
model_metric,hospital,xgb,tuned,critical_undertriage,0.0772
model_metric,hospital,xgb,tuned,undertriage,0.1355
model_metric,hospital,xgb,tuned,overtriage,0.3078
model_metric,hospital,mlp,raw,qwk,0.6022
model_metric,hospital,mlp,raw,mae,0.4403
model_metric,hospital,mlp,raw,macro_f1,0.4936
model_metric,hospital,mlp,raw,accuracy,0.601
model_metric,hospital,mlp,raw,within_one_accuracy,0.9603
model_metric,hospital,mlp,raw,recall_esi1,0.7962
model_metric,hospital,mlp,raw,recall_esi2,0.6264
model_metric,hospital,mlp,raw,pooled_critical_recall,0.7947
model_metric,hospital,mlp,raw,critical_undertriage,0.2053
model_metric,hospital,mlp,raw,undertriage,0.2067
model_metric,hospital,mlp,raw,overtriage,0.1923
model_metric,hospital,mlp,tuned,qwk,0.5755
model_metric,hospital,mlp,tuned,mae,0.4917
model_metric,hospital,mlp,tuned,macro_f1,0.4698
model_metric,hospital,mlp,tuned,accuracy,0.5429
model_metric,hospital,mlp,tuned,within_one_accuracy,0.967
model_metric,hospital,mlp,tuned,recall_esi1,0.7664
model_metric,hospital,mlp,tuned,recall_esi2,0.7691
model_metric,hospital,mlp,tuned,pooled_critical_recall,0.9009
model_metric,hospital,mlp,tuned,critical_undertriage,0.0991
model_metric,hospital,mlp,tuned,undertriage,0.1692
model_metric,hospital,mlp,tuned,overtriage,0.2879
model_metric,hospital,ensemble,raw,qwk,0.6242
model_metric,hospital,ensemble,raw,mae,0.3987
model_metric,hospital,ensemble,raw,macro_f1,0.5109
model_metric,hospital,ensemble,raw,accuracy,0.6317
model_metric,hospital,ensemble,raw,within_one_accuracy,0.9707
model_metric,hospital,ensemble,raw,recall_esi1,0.7658
model_metric,hospital,ensemble,raw,recall_esi2,0.66
model_metric,hospital,ensemble,raw,pooled_critical_recall,0.7909
model_metric,hospital,ensemble,raw,critical_undertriage,0.2091
model_metric,hospital,ensemble,raw,undertriage,0.1931
model_metric,hospital,ensemble,raw,overtriage,0.1752
model_metric,hospital,ensemble,tuned,qwk,0.5914
model_metric,hospital,ensemble,tuned,mae,0.4545
model_metric,hospital,ensemble,tuned,macro_f1,0.4868
model_metric,hospital,ensemble,tuned,accuracy,0.5709
model_metric,hospital,ensemble,tuned,within_one_accuracy,0.9756
model_metric,hospital,ensemble,tuned,recall_esi1,0.7313
model_metric,hospital,ensemble,tuned,recall_esi2,0.8037
model_metric,hospital,ensemble,tuned,pooled_critical_recall,0.9027
model_metric,hospital,ensemble,tuned,critical_undertriage,0.0973
model_metric,hospital,ensemble,tuned,undertriage,0.1529
model_metric,hospital,ensemble,tuned,overtriage,0.2762
dataset,,,,n_train,286319
dataset,,,,n_val,40785
dataset,,,,n_test,80984
dataset,,,,n_total,408088
dataset,patient,,,n_features,783
dataset,hospital,,,n_features,823
class_distribution,,,,n_esi1,3484
class_distribution,,,,pct_esi1,4.3
class_distribution,,,,label_esi1,Resuscitation
class_distribution,,,,n_esi2,27020
class_distribution,,,,pct_esi2,33.4
class_distribution,,,,label_esi2,Emergent
class_distribution,,,,n_esi3,44483
class_distribution,,,,pct_esi3,54.9
class_distribution,,,,label_esi3,Urgent
class_distribution,,,,n_esi4,5752
class_distribution,,,,pct_esi4,7.1
class_distribution,,,,label_esi4,Less urgent
class_distribution,,,,n_esi5,245
class_distribution,,,,pct_esi5,0.3
class_distribution,,,,label_esi5,Non-urgent
threshold,patient,,,t1,0.2
threshold,patient,,,t2,0.25
best_model,patient,,,model,mlp
best_model,patient,,,label,MLP deep ensemble (5 seeds)
threshold,hospital,,,t1,0.5
threshold,hospital,,,t2,0.25
best_model,hospital,,,model,ensemble
best_model,hospital,,,label,Soft-voting ensemble (MLP + XGBoost)
confusion,patient,mlp,raw,actual1_pred1,1539
confusion,patient,mlp,raw,actual1_pred2,1492
confusion,patient,mlp,raw,actual1_pred3,421
confusion,patient,mlp,raw,actual1_pred4,32
confusion,patient,mlp,raw,actual1_pred5,0
confusion,patient,mlp,raw,actual2_pred1,1264
confusion,patient,mlp,raw,actual2_pred2,18572
confusion,patient,mlp,raw,actual2_pred3,6840
confusion,patient,mlp,raw,actual2_pred4,340
confusion,patient,mlp,raw,actual2_pred5,4
confusion,patient,mlp,raw,actual3_pred1,244
confusion,patient,mlp,raw,actual3_pred2,8761
confusion,patient,mlp,raw,actual3_pred3,30396
confusion,patient,mlp,raw,actual3_pred4,5059
confusion,patient,mlp,raw,actual3_pred5,23
confusion,patient,mlp,raw,actual4_pred1,3
confusion,patient,mlp,raw,actual4_pred2,98
confusion,patient,mlp,raw,actual4_pred3,1788
confusion,patient,mlp,raw,actual4_pred4,3733
confusion,patient,mlp,raw,actual4_pred5,130
confusion,patient,mlp,raw,actual5_pred1,0
confusion,patient,mlp,raw,actual5_pred2,8
confusion,patient,mlp,raw,actual5_pred3,38
confusion,patient,mlp,raw,actual5_pred4,132
confusion,patient,mlp,raw,actual5_pred5,67
confusion,patient,mlp,tuned,actual1_pred1,2287
confusion,patient,mlp,tuned,actual1_pred2,1014
confusion,patient,mlp,tuned,actual1_pred3,151
confusion,patient,mlp,tuned,actual1_pred4,32
confusion,patient,mlp,tuned,actual1_pred5,0
confusion,patient,mlp,tuned,actual2_pred1,4004
confusion,patient,mlp,tuned,actual2_pred2,19972
confusion,patient,mlp,tuned,actual2_pred3,2701
confusion,patient,mlp,tuned,actual2_pred4,339
confusion,patient,mlp,tuned,actual2_pred5,4
confusion,patient,mlp,tuned,actual3_pred1,1257
confusion,patient,mlp,tuned,actual3_pred2,17791
confusion,patient,mlp,tuned,actual3_pred3,20353
confusion,patient,mlp,tuned,actual3_pred4,5059
confusion,patient,mlp,tuned,actual3_pred5,23
confusion,patient,mlp,tuned,actual4_pred1,26
confusion,patient,mlp,tuned,actual4_pred2,292
confusion,patient,mlp,tuned,actual4_pred3,1571
confusion,patient,mlp,tuned,actual4_pred4,3733
confusion,patient,mlp,tuned,actual4_pred5,130
confusion,patient,mlp,tuned,actual5_pred1,2
confusion,patient,mlp,tuned,actual5_pred2,11
confusion,patient,mlp,tuned,actual5_pred3,33
confusion,patient,mlp,tuned,actual5_pred4,132
confusion,patient,mlp,tuned,actual5_pred5,67
confusion,hospital,ensemble,raw,actual1_pred1,2668
confusion,hospital,ensemble,raw,actual1_pred2,605
confusion,hospital,ensemble,raw,actual1_pred3,164
confusion,hospital,ensemble,raw,actual1_pred4,47
confusion,hospital,ensemble,raw,actual1_pred5,0
confusion,hospital,ensemble,raw,actual2_pred1,3021
confusion,hospital,ensemble,raw,actual2_pred2,17833
confusion,hospital,ensemble,raw,actual2_pred3,5391
confusion,hospital,ensemble,raw,actual2_pred4,773
confusion,hospital,ensemble,raw,actual2_pred5,2
confusion,hospital,ensemble,raw,actual3_pred1,1222
confusion,hospital,ensemble,raw,actual3_pred2,8800
confusion,hospital,ensemble,raw,actual3_pred3,25903
confusion,hospital,ensemble,raw,actual3_pred4,8532
confusion,hospital,ensemble,raw,actual3_pred5,26
confusion,hospital,ensemble,raw,actual4_pred1,34
confusion,hospital,ensemble,raw,actual4_pred2,71
confusion,hospital,ensemble,raw,actual4_pred3,846
confusion,hospital,ensemble,raw,actual4_pred4,4702
confusion,hospital,ensemble,raw,actual4_pred5,99
confusion,hospital,ensemble,raw,actual5_pred1,0
confusion,hospital,ensemble,raw,actual5_pred2,6
confusion,hospital,ensemble,raw,actual5_pred3,24
confusion,hospital,ensemble,raw,actual5_pred4,164
confusion,hospital,ensemble,raw,actual5_pred5,51
confusion,hospital,ensemble,tuned,actual1_pred1,2548
confusion,hospital,ensemble,tuned,actual1_pred2,812
confusion,hospital,ensemble,tuned,actual1_pred3,79
confusion,hospital,ensemble,tuned,actual1_pred4,45
confusion,hospital,ensemble,tuned,actual1_pred5,0
confusion,hospital,ensemble,tuned,actual2_pred1,2462
confusion,hospital,ensemble,tuned,actual2_pred2,21715
confusion,hospital,ensemble,tuned,actual2_pred3,2095
confusion,hospital,ensemble,tuned,actual2_pred4,746
confusion,hospital,ensemble,tuned,actual2_pred5,2
confusion,hospital,ensemble,tuned,actual3_pred1,809
confusion,hospital,ensemble,tuned,actual3_pred2,17939
confusion,hospital,ensemble,tuned,actual3_pred3,17232
confusion,hospital,ensemble,tuned,actual3_pred4,8477
confusion,hospital,ensemble,tuned,actual3_pred5,26
confusion,hospital,ensemble,tuned,actual4_pred1,30
confusion,hospital,ensemble,tuned,actual4_pred2,208
confusion,hospital,ensemble,tuned,actual4_pred3,725
confusion,hospital,ensemble,tuned,actual4_pred4,4690
confusion,hospital,ensemble,tuned,actual4_pred5,99
confusion,hospital,ensemble,tuned,actual5_pred1,0
confusion,hospital,ensemble,tuned,actual5_pred2,11
confusion,hospital,ensemble,tuned,actual5_pred3,19
confusion,hospital,ensemble,tuned,actual5_pred4,164
confusion,hospital,ensemble,tuned,actual5_pred5,51
